parameter_id,family,label,definition,maturity,aralearn_relationship,aralearn_value,allowed_values,scope,controlling_authority,precedence,evidence_status,recommendation,dependencies,incompatibilities,analytics_implication,accessibility_implication,downstream_handoff
accessibility.design_mode,accessibility,Modo de desenho inclusivo,Como barreiras previsíveis são tratadas antes de acomodações individuais.,accepted,implicit-value,structured-resources|mobile-offline,baseline-accessible|UDL-options|accommodation-only|profile-specific|research-condition,platform|resource|course|deployment,product|author|institution|accessibility-rule,law/accessibility > product baseline > author,supported,"Adotar baseline acessível e opções de UDL; acomodações individuais complementam, não substituem, desenho inclusivo.",accessibility.modality_policy|WCAG22,accommodation-only as excuse for inaccessible baseline,Accessibility conformance and educational effect are separate.,This parameter governs accessibility itself.,#6|#7|#8
accessibility.accommodation_scope,accessibility,Escopo da acomodação,Unidade em que uma acomodação ou preferência acessível se aplica.,accepted,absent,,platform|deployment|course|resource|practice|response|assessment|learner|condition,platform|course|condition|learner-accommodation,learner|accessibility-professional|institution|research-protocol,rights/accessibility > protocol with lawful accommodation > institution > author,supported,Permitir escopo explícito e mínimo necessário; não propagar silenciosamente para constructos incompatíveis.,accessibility.equivalence_policy|accessibility.persistence_policy,global accommodation that changes unrelated constructs,Accommodation scope must be recorded when it affects comparability.,Avoid exposing sensitive scope to unauthorized roles.,#5|#6|#8
accessibility.disclosure_policy,accessibility,Política de declaração,"Se e como a pessoa precisa declarar necessidade, deficiência ou preferência para obter acesso.",accepted,absent,,no-disclosure-needed|preference-only|private-accommodation|institution-verified|protocol-exception|optional-self-description,platform|deployment|course|condition|learner,learner|institution|accessibility-professional|research-protocol,rights/privacy > minimum necessary verification > protocol,supported,"Preferir opções utilizáveis sem diagnóstico; quando verificação for necessária, separar dado sensível da configuração aplicada.",accessibility.privacy_policy,forced public disclosure,Disclosure cannot be used as ability or risk indicator.,Core privacy requirement.,#5|#6|#7|#8
accessibility.preference_control,accessibility,Controle de preferências acessíveis,"Quem define, testa e altera apresentação, interação e apoio acessível.",accepted,absent,,learner|accessibility-professional|shared|institution|protocol-fixed,platform|course|condition|learner,learner|accessibility-professional|institution|research-protocol,rights/accessibility > learner preference > institution/author where construct preserved,supported,"Dar controle direto ao usuário com preview, reset e perfis; evitar interface técnica.",accessibility.modality_policy|autonomy.choice_mode,preference locked without necessity,Preference changes should not be treated as performance data.,Control itself must be accessible.,#5|#6|#8
accessibility.modality_policy,accessibility,Política de modalidade,"Alternativas de percepção, ação e expressão disponíveis para conteúdo e resposta.",accepted,implicit-value,resource-specific-accessible-alternative,single|text|audio|visual|tactile|speech|keyboard|switch|multiple-equivalent|human-assisted,resource|practice|response|interface|learner,product|author|accessibility-rule|learner,construct preservation > accessibility need > author default,supported,Exigir alternativas apropriadas e declarar quando modalidades não são equivalentes para o objetivo.,resource-contract|response.form,modality change that invalidates construct without annotation,Modality affects condition and must be captured when outcome-relevant.,WCAG and assistive-technology compatibility apply.,#5|#6|#7|#8
accessibility.equivalence_policy,accessibility,Equivalência da acomodação,"Como registrar se uma alternativa preserva, modifica ou substitui o constructo avaliado.",accepted,absent,,equivalent|functionally-equivalent|construct-qualified|alternate-construct|human-reviewed|not-comparable,practice|assessment|condition|learner,author|accessibility-professional|institution|research-protocol,rights/accessibility > valid construct review > protocol/institution,supported,"Nunca presumir equivalência; registrar decisão, revisão e consequência para comparação.",accessibility.construct_preservation|evaluation.authority,score comparison across non-equivalent accommodations,Determines allowed aggregation and inference.,Must not deny access merely because equivalence is uncertain.,#5|#6
accessibility.construct_preservation,accessibility,Preservação do constructo,Regra para distinguir informação essencial da tarefa de barreira irrelevante.,accepted,absent,,preserve|qualify|alternate-evidence|human-decision|not-applicable,practice|assessment|course-outcome|condition,author|accessibility-professional|institution|research-protocol,rights/accessibility + validity review > convenience,supported,Revisar objetivo e constructo antes de bloquear acomodação; permitir qualificação transparente.,accessibility.equivalence_policy|progression.evidence_basis,essential information removed or barrier treated as construct,Required for valid progression and research.,Central accessibility invariant.,#5|#6|#8
accessibility.assistive_technology_policy,accessibility,Compatibilidade assistiva,Obrigação de funcionamento com tecnologias assistivas e formas alternativas de interação.,accepted,implicit-value,structured-data-and-accessible-alternative,required-baseline|profile-specific|tested-combinations|human-assisted-fallback|unavailable-explicit,platform|resource|practice|deployment,product|author|institution,law/accessibility > product baseline > profile constraints,supported,Definir baseline testável com WCAG 2.2 e cenários de AT; capacidades incompatíveis devem ficar indisponíveis explicitamente.,WCAG22|resource-contract,silent inaccessible capability,"Conformance evidence is technical, not learning evidence.",This is the parameter's subject.,#6|#7|#8
accessibility.persistence_policy,accessibility,Persistência de preferências e acomodações,Onde e por quanto tempo configurações acessíveis permanecem e como acompanham snapshots offline.,accepted,absent,,session|device|account|course|institution|condition|no-persistence,platform|deployment|course|condition|learner-device,learner|institution|research-protocol|product,privacy/consent > learner > institution/protocol,operational-choice,Persistir o mínimo necessário com export/reset e separação de dados sensíveis; materialização offline deve carregar o estado autorizado.,accessibility.privacy_policy|offline-snapshot,persistence across contexts without consent,Persistence can reveal sensitive information and needs access rules.,Must preserve access offline and after update.,#5|#6|#7|#8
accessibility.privacy_policy,accessibility,Privacidade de acessibilidade,"Acesso, retenção e divulgação de preferências, acomodações e justificativas.",accepted,absent,,private-to-learner|role-limited|condition-pseudonymized|institution-record|ephemeral|exportable|deletable,platform|deployment|condition|learner,learner|accessibility-professional|institution|research-protocol,law/privacy/consent > minimum necessary access,supported,Separar configuração aplicada de diagnóstico/justificativa; proibir uso secundário e inferência automática.,#5|accessibility.disclosure_policy,accommodation exposed to authors/peers without need,Sensitive data requires explicit governance and retention.,Core privacy/accessibility requirement.,#5|#6|#7|#8
